Day,Brand,Description,Roast
1,Coffee Bean,"Dark Roast, Mexico",Dark
2,Seattle's Best,Portside Blend Medium Roast Ground Coffee,Medium
3,Starbucks,Pumpkin Spice,N/A
4,Gevalia,French Roast Ground Arabica Coffee,Dark
5,McCafe,Light Roast Breakfast Blend,Light
6,Dunkin Donuts,Cinnamon Coffee Roll,N/A
7,Don Francisco,"Medium Roast, Hazelnut Cream",Medium
8,Kicking Horse,Kick Ass,Medium
9,Starbucks,French Roast Dark Roast Ground Coffee,Dark
10,Coffee Bean,"Fruity Aroma, Dark Chocolate Flavor, Breakfast Blend",Medium
11,McCafe,Columbian Ground Coffee,Medium-Dark
12,Gevalia,House Blend Ground Arabia Coffee,Medium
13,Don Francisco,Kona Blend,Medium
14,Stumptown,Hair Bender Ground Light,Light
15,Seattle's Best,Dark Roast Ground Coffee,Dark
16,Starbucks,Medium Roast Ground Coffee - Breakfast Blend,Medium
17,Dunkin Donuts,Original Blend,Medium
18,Peet's,Major Dickason's ,Dark
19,Camerons,"Dark Roast, Jamaican Blue Mountain",Dark
20,Dunkin Donuts,Caramel Coffee Cake,N/A
21,Lavazza,Classico,Medium
22,Boyds,French No. 6,Dark
23,Intelligentsia,El Gallo,Light
24,Starbucks,Christmas Blend,N/A
25,Starbucks,Peppermint Mocha,N/A
